word,root
كتاب,كتب
المبسوط,بسط
للسرخسي,سرخس
بسم,بسم
الله,له
الرحمن,رحم
الرحيم,رحم
وما,ومأ
توفيقي,وفق
إلا,لا
بالله,له
عليه,عليه
توكلت,وكل
وإليه,أله
أنيب,نوب
وصلى,وصل
الله,له
على,على
سيدنا,سود
محمد,حمد
وعلى,وعلى
آله,له
وسلم,سلم
قال,قول
الشيخ,شيخ
الإمام,أمم
الأجل,أجل
الزاهد,زهد
شمس,شمس
الأئمة,ائمة
أبو,أبو
بكر,بكر
محمد,حمد
بن,بني
أبي,أبي
سهل,سهل
السرخسي,سرخس
رحمه,رحم
الله,له
ونور,نور
ضريحه,ضرح
وهو,وهو
في,في
الحبس,حبس
بأوزجند,بأوزجند
إملاء,ملأ
الحمد,حمد
لله,ليل
بارىء,بارىء
النسم,نسم
ومحيي,حيا
الرمم,رمم
ومجزل,جزل
القسم,قسم
مبدع,بدع
البدائع,بدع
وشارع,شرع
الشرائع,شرع
دينا,ودي
رضيا,رضي
ونورا,نور
مضيا,مضي
لتكليف,كلف
المحجوجين,حجج
ووعد,وعد
المؤتمرين,أمر
ووأد,وأد
المعتدين,عتد
بينة,بين
للعالمين,علم
على,على
لسان,لسن
سيد,سود
المرسلين,رسل
وإمام,أمم
المتقين,قون
خاتم,ختم
النبيين,نبأ
سيدنا,سود
محمد,حمد
صلى,صلي
الله,له
عليه,عليه
وعلى,وعلى
آله,له
الطيبين,طوب
الطاهرين,طهر
وعلى,وعلى
جميع,جمع
الأنبياء,نبأ
والمرسلين,رسل
وبعد,بعد
فإن,فإن
أقوى,قوا
الفرائض,فرض
بعد,بعد
الإيمان,يمن
بالله,له
تعالى,علا
طلب,طلب
العلم,علم
كما,كما
جاء,جاء
في,في
الحديث,حدث
عن,عن
النبي,نبأ
صلى,صلي
الله,له
عليه,عليه
وسلم,سلم
أنه,أنه
قال,قول
طلب,طلب
العلم,علم
فريضة,فرض
على,على
كل,كل
مسلم,سلم
ومسلمة,سلم
والعلم,علم
ميراث,ميراث
النبوة,نبأ
كما,كما
جاء,جاء
في,في
الحديث,حدث
أن,أن
الأنبياء,نبأ
عليهم,علي
الصلاة,صلي
والسلام,سلم
لم,لم
يورثوا,ورث
دينارا,دينارا
ولا,ولي
درهما,درأ
وإنما,نمي
ورثوا,رثي
العلم,علم
فمن,من
أخذ,أخذ
به,به
أخذ,أخذ
بحظ,حظظ
وافر,وفر
والعلم,علم
علمان,علم
علم,علم
التوحيد,وحد
والصفات,صفا
وعلم,علم
الفقه,فقه
والشرائع,شرع
فالأصل,أصل
في,في
علم,علم
التوحيد,وحد
التمسك,مسك
بالكتاب,كتب
والسنة,وسن
ومجانبة,جنب
الهوى,هوي
والبدعة,بدع
كما,كما
كان,كان
عليه,عليه
الصحابة,صحب
والتابعون,تبع
والسلف,سلف
الصالحون,صلح
رضوان,رضي
الله,له
عليهم,علي
أجمعين,جمع
الذين,الذين
أخفاهم,خفي
التراب,روب
وآثارهم,ثور
بتصانيفهم,بتصانيفهم
باقية,بقي
في,في
هذا,هذا
الباب,لبب
وقد,وقد
عزمت,عزم
على,على
جمع,جمع
أقاويلهم,اقاويلهم
في,في
تأليف,ألف
هذا,هذا
الكتاب,كتب
تذكرة,ذكر
لأولى,ولي
الألباب,لبب
وأما,أما
علم,علم
الفقه,فقه
والشرائع,شرع
فهو,فهو
الخير,خور
الكثير,كثر
كما,كما
قال,قول
الله,له
عز,عزز
وجل,وجل
ومن,ومن
يؤت,يؤت
الحكمة,حكم
فقد,فقد
أوتي,وتي
خيرا,خور
كثيرا,كثر
البقرة,بقر
قال,قول
بن,بني
عباس,عبس
رضي,رضي
الله,له
تعالى,علا
عنه,عنه
الحكمة,حكم
معرفة,عرف
الأحكام,حكم
من,من
الحلال,حلل
والحرام,حرم
وقد,وقد
ندب,ندب
الله,له
تعالى,علا
إلى,إلى
ذلك,ذلك
بقوله,بقل
تعالى,علا
فلولا,فلل
نفر,نفر
من,من
كل,كل
فرقة,فرق
منهم,نهم
طائفة,طوف
ليتفقهوا,فقه
في,في
الدين,دون
ولينذروا,نذر
قومهم,قوم
إذا,إذا
رجعوا,رجع
إليهم,همم
لعلهم,لعل
يحذرون,حذر
فقد,فقد
جعل,جعل
ولاية,لوي
الإنذار,نذر
والدعوة,دعا
للفقهاء,فقه
وهذه,هذه
درجة,درج
الأنبياء,نبأ
تركوها,تركوها
ميراثا,ميراثا
للعلماء,علم
كما,كما
قال,قول
عليه,عليه
الصلاة,صلي
والسلام,سلم
العلماء,علم
ورثة,رثي
الأنبياء,نبأ
وبعد,بعد
انقطاع,قطع
النبوة,نبأ
هذه,هذه
الدرجة,درج
أعلى,علا
النهاية,نهي
في,في
القوة,قوا
وهو,وهو
معنى,عني
قول,قول
النبي,نبأ
عليه,عليه
الصلاة,صلي
والسلام,سلم
من,من
يرد,ردد
الله,له
به,به
خيرا,خور
يفقهه,فقه
في,في
الدين,دون
وقال,وقل
عليه,عليه
الصلاة,صلي
والسلام,سلم
خياركم,خور
في,في
