word,root
بسم,بسم
الله,له
الرحمن,رحم
الرحيم,رحم
اللهم,لهم
يسر,يسر
وأعن,عن
يا,يا
كريم,كرم
الحمد,حمد
لله,ليل
الذي,الذي
أوضح,وضح
لنا,لنا
شرائع,شرع
دينه,دون
ومن,ومن
علينا,علي
بتنزيل,نزل
كتابه,كتب
وأمدنا,دنا
بسنة,وسن
رسوله,رسل
حتى,حتى
تمهد,مهد
لعلماء,علم
الأمة,لأم
أصول,صول
بنص,نوص
ومعقول,عقل
توصلوا,وصل
بها,بها
إلى,إلى
علم,علم
الحادث,حدث
النازل,نزل
وإدراك,درك
الغامض,غمض
المشكل,شكل
فلله,فلل
الحمد,حمد
على,على
ما,ما
أنعم,نعم
به,به
من,من
هدايته,هدأ
وصلواته,صلي
على,على
رسوله,رسل
محمد,حمد
وآله,له
وأصحابه,صحب
ثم,ثم
لما,ما
كان,كان
محمد,حمد
بن,بني
إدريس,درس
الشافعي,شفع
رضي,رضي
الله,له
عنه,عنه
قد,قد
توسط,وسط
بحجتي,حوج
النصوص,نصص
المنقولة,قول
والمعاني,عني
المعقولة,عقل
حتى,حتى
لم,لم
يصره,صري
بالميل,مول
إلى,إلى
أحدهما,أحد
مقصرا,قصر
عن,عن
الأخرى,خرأ
أحق,حقق
وبطريقه,طرق
أوثق,وثق
ولما,ما
كان,كان
أصحاب,صحب
الشافعي,شفع
رضي,رضي
الله,له
عنه,عنه
قد,قد
اقتصروا,قصر
على,على
مختصر,خصر
إبراهيم,ابراهيم
بن,بني
إسماعيل,عول
بن,بني
يحيى,حيا
المزني,زنأ
رحمه,رحم
الله,له
لانتشار,نشر
الكتب,كتب
المبسوطة,بسط
عن,عن
فهم,فهم
المتعلم,علم
واستطالة,طول
مراجعتها,رجع
على,على
العالم,علم
حتى,حتى
جعلوا,جعل
المختصر,خصر
أصلا,صلي
يمكنهم,يمكن
تقريبه,قرب
على,على
المبتدئ,بدأ
واستيفاؤه,واستيفاؤه
للمنتهي,نهي
وجب,وجب
صرف,صرف
العناية,عني
إليه,أله
وإيقاع,قوع
الاهتمام,هتم
به,به
ولما,ما
صار,صار
مختصر,خصر
المزني,زنأ
بهذه,هذه
الحال,حول
من,من
مذهب,مذهب
الشافعي,شفع
لزم,لزم
استيعاب,استيعاب
المذهب,مذهب
في,في
شرحه,شرح
واستيفاء,واستيفاء
اختلاف,خلف
الفقهاء,فقه
المغلق,غلق
به,به
وإن,إن
كان,كان
ذلك,ذلك
خروجا,خرج
عن,عن
مقتضى,قضي
الشرح,شرح
الذي,الذي
يقتضي,قضي
الاقتصار,قصر
على,على
إبانة,بين
المشروح,شرح
ليصح,صحي
الاكتفاء,كفأ
به,به
والاستغناء,غني
عن,عن
غيره,غور
وقد,وقد
اعتمدت,عمد
بكتابي,كتب
هذا,هذا
شرحه,شرح
على,على
أعدل,عدل
شروحه,شرح
وترجمته,ترجم
الحاوي,حوي
رجاء,رجأ
أن,أن
يكون,يكون
حاويا,حوي
لما,ما
أوجبه,وجب
بقدر,قدر
الحال,حول
من,من
الاستيفاء,استيفاء
والاستيعاب,استيعاب
في,في
أوضح,وضح
تقديم,قدم
وأصح,صحي
ترتيب,رتب
وأسهل,سهل
مأخذ,أخذ
واحد,وحد
في,في
فصول,فصل
وأنا,أني
أسأل,سأل
الله,له
أكرم,كرم
مسؤول,سأل
أن,أن
يجعل,جعل
التوفيق,وفق
لي,ليي
مادة,ميد
والمعونة,عون
هداية,هدأ
بطوله,بطل
ومشيئته,شيأ
قال,قول
إبراهيم,ابراهيم
بن,بني
إسماعيل,عول
بن,بني
يحيى,حيا
المزني,زنأ
اختصرت,خصر
هذا,هذا
من,من
علم,علم
الشافعي,شفع
من,من
معنى,عني
قوله,قول
لأقربه,قرب
على,على
من,من
أراده,رده
مع,مع
إعلامية,علم
نهيه,نهي
عن,عن
تقليده,قلد
وتقليد,قلد
غيره,غور
لينظر,نظر
فيه,فيه
لدينه,لدن
ويحتاط,حوط
فيه,فيه
لنفسه,نفس
وبالله,بلل
التوفيق,وفق
وقال,وقل
الماوردي,ورد
ابتدأ,بدأ
المزني,زنأ
بهذه,هذه
الترجمة,ترجم
في,في
كتابه,كتب
فاعترض,عرض
عليه,عليه
فيها,فيها
من,من
حساد,حسد
الفضل,فضل
من,من
أغراهم,غري
التقدم,قدم
بالمنازعة,نزع
وبعثهم,بعث
الاشتهار,شهر
على,على
المذمة,ذمي
وكان,وكان
ممن,يمم
اعترض,عرض
عليه,عليه
فيها,فيها
النهرماني,هرم
المغربي,مغرب
القهي,قهي
وأبو,وأبو
طالب,طلب
الكاتب,كتب
ثم,ثم
تعقبهم,عقب
ابن,أبن
داود,دود
فكان,فكان
اعتراضهم,عرض
فيها,فيها
من,من
وجوه,وجه
فأول,فأل
وجوه,وجه
اعتراضهم,عرض
فيها,فيها
أن,أن
قالوا,قول
لم,لم
لم,لم
يحمد,حمد
الله,له
تعالى,علا
تبركا,برك
بذكره,ذكر
واقتداء,قدي
بغيره,بغر
واتباعا,تبع
لما,ما
رواه,روي
الأوزاعي,وزع
عن,عن
قرة,قرر
بن,بني
عبد,عبد
الرحمن,رحم
عن,عن
الزهري,زهر
عن,عن
أبي,أبي
سلمة,سلم
عن,عن
أبي,أبي
هريرة,هرر
أن,أن
رسول,رسل
الله,له
قال,قول
كل,كل
أمر,أمر
ذي,ذوي
بال,بول
لم,لم
يبدأ,بدأ
فيه,فيه
بحمد,حمد
الله,له
فهو,فهو
أبتر,بتر
فالجواب,جوب
عنه,عنه
من,من
خمسة,خمس
أوجه,وجه
أحدها,أحد
أن,أن
يقلب,قلب
الاعتراض,عرض
عليهم,علي
ويستعمل,عمل
دليل,دلل
الخبر,خبر
في,في
سؤالهم,سأل
فيقال,فيقال
لهم,لهم
إن,إن
كان,كان
سؤالكم,سأل
ذا,ذا
بال,بول
فهلا,هل
قدمتم,قدم
عليه,عليه
حمد,حمد
الله,له
إلا,لا
أن,أن
يكون,يكون
غير,غور
ذي,ذوي
بال,بول
فلا,فلي
نعول,نعل
عليه,عليه
وكل,وكل
سؤال,سأل
انقلب,قلب
على,على
سائله,سول
كان,كان
مطرحا,طرح
والجواب,جوب
الثاني,ثني
أن,أن
حمد,حمد
الله,له
تارة,تير
يكون,يكون
خطا,خطا
وتارة,تير
يكون,يكون
لفظا,لفظ
وهو,وهو
أشبه,شبه
الأمرين,أمر
بظاهر,ظهر
الأمر,أمر
والمزني,زنأ
ترك,ترك
حمد,حمد
الله,له
خطا,خطا
وقد,وقد
ذكره,ذكر
لفظا,لفظ
حتى,حتى
روي,روي
أنه,أنه
كان,كان
يصلي,صلي
ركعتين,ركع
عند,عند
تصنيف,صنف
كل,كل
باب,بوب
والجواب,جوب
الثالث,ثلث
أن,أن
المزني,زنأ
قد,قد
حمد,حمد
الله,له
وسمى,وسم
وأتى,أتي
به,به
كتابة,كتب
ولفظا,لفظ
وقال,وقل
الحمد,حمد
لله,ليل
الذي,الذي
لا,لا
شريك,شرك
له,له
الذي,الذي
هو,هو
كما,كما
وصف,وصف
وفوق,وفق
ما,ما
يصفه,صفف
به,به
خلقه,خلق
ليس,ليس
كمثله,كمثله
شيء,شيأ
وهو,وهو
السميع,سمع
البصير,بصر
فحذف,حذف
ذلك,ذلك
بعض,بعض
الناقلين,نقل
والجواب,جوب
الرابع,ربع
أن,أن
المراد,مرد
بحمد,حمد
الله,له
إنما,نمي
هو,هو
ذكر,ذكر
الله,له
لأمرين,أمر
أحدهما,أحد
أنه,أنه
قد,قد
روي,روي
لم,لم
يبدأ,بدأ
بذكر,ذكر
الله,له
والثاني,ثني
يقدر,قدر
استعماله,عمل
لأن,لأن
التحميد,حمد
إن,إن
قدم,قدم
على,على
التسمية,سمي
خولف,خولف
فيه,فيه
العادة,عود
وإن,إن
ذكر,ذكر
بعد,بعد
التسمية,سمي
لم,لم
يقع,قعي
به,به
البداية,بدأ
فثبت,ثبت
بهذين,هذي
أن,أن
المراد,مرد
به,به
ذكر,ذكر
الله,له
وقد,وقد
بدأ,بدأ
بذكر,ذكر
الله,له
في,في
قوله,قول
بسم,بسم
الله,له
الرحمن,رحم
الرحيم,رحم
والجواب,جوب
الخامس,خمس
أن,أن
الأمر,أمر
به,به
محمول,حمل
على,على
ابتداء,بدأ
الخطبة,خطب
دون,دون
غيرها,غور
زجرا,زجر
عما,عمي
كانت,كانت
الجاهلية,جهل
عليه,عليه
من,من
تقديم,قدم
المنثور,ثور
والمنظوم,نظم
والكلام,كلم
المنثور,ثور
وإنما,نمي
كان,كان
لثلاثة,ثلث
أمور,مور
أحدها,أحد
ما,ما
روي,روي
أن,أن
أعرابيا,عرب
خطب,خطب
فترك,فتر
التحميد,حمد
فقال,قول
النبي,نبأ
كل,كل
أمر,أمر
ذي,ذوي
بال,بول
لم,لم
يبدأ,بدأ
فيه,فيه
بحمد,حمد
الله,له
فهو,فهو
أبتر,بتر
والثاني,ثني
أن,أن
أول,أول
ما,ما
نزل,نزل
من,من
كتاب,كتب
الله,له
عز,عزز
وجل,وجل
قوله,قول
اقرأ,قرأ
باسم,بسم
ربك,ربك
الذي,الذي
خلق,خلق
العلق,علق
وقوله,قول
يا,يا
