word,root
بسم,سمو\سما
الله,أله
الرحمن,رحم
الرحيم,رحم
اللهم,أله
يسر,يسر
وأعن,عون
يا,#
كريم,كرم
الحمد,حمد
لله,إله
الذي,#
أوضح,وضح
لنا,#
شرائع,شرع
دينه,دين
ومن,#
علينا,على
بتنزيل,نزل
كتابه,كتب
وأمدنا,مدد
بسنة,سنن
رسوله,رسل
حتى,#
تمهد,مهد
لعلماء,علم
الأمة,أمم
أصول,أصل
بنص,نصص
ومعقول,عقل
توصلوا,وصل
بها,#
إلى,#
علم,علم
الحادث,حدث
النازل,نزل
وإدراك,درك
الغامض,غمض
المشكل,شكل
فلله,#
الحمد,حمد
على,#
ما,#
أنعم,#
به,#
من,#
هدايته,هدي
وصلواته,صلو
على,#
رسوله,رسل
محمد,حمد
وآله,أول
وأصحابه,صحب
ثم,#
لما,#
كان,كون
محمد,حمد
بن,بني
إدريس,#
الشافعي,شفع
رضي,رضو
الله,أله
عنه,#
قد,#
توسط,وسط
بحجتي,حجج
النصوص,نصص
المنقولة,نقل
والمعاني,عني
المعقولة,عقل
حتى,#
لم,#
يصره,صير
بالميل,ميل
إلى,#
أحدهما,أحد
مقصرا,قصر
عن,#
الأخرى,أخر
أحق,حقق
وبطريقه,طرق
أوثق,وثق
ولما,#
كان,كون
أصحاب,صحب
الشافعي,شفع
رضي,رضو
الله,أله
عنه,#
قد,#
اقتصروا,قصر
على,#
مختصر,خصر
إبراهيم,#
بن,بني
إسماعيل,#
بن,بني
يحيى,#
المزني,#
رحمه,رحم
الله,أله
لانتشار,نشر
الكتب,كتب
المبسوطة,بسط
عن,#
فهم,فهم
المتعلم,علم
واستطالة,طول
مراجعتها,رجع
على,#
العالم,علم
حتى,#
جعلوا,جعل
المختصر,خصر
أصلا,أصل
يمكنهم,كون
تقريبه,قرب
على,#
المبتدئ,بدأ
واستيفاؤه,وفي
للمنتهي,نهي
وجب,وجب
صرف,صرف
العناية,عني
إليه,#
وإيقاع,وقع
الاهتمام,همم
به,#
ولما,#
صار,صار
مختصر,خصر
المزني,#
بهذه,#
الحال,حول
من,#
مذهب,ذهب
الشافعي,شفع
لزم,لزم
استيعاب,وعب
المذهب,مذهب
في,#
شرحه,شرح
واستيفاء,وفي
اختلاف,خلف
الفقهاء,فقه
المغلق,غلق
به,#
وإن,#
كان,كون
ذلك,#
خروجا,خرج
عن,#
